"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"163",,"مستودع أومحل + 2 عامل","18050000","Warehouse or shop + 2 workers",
"164",,"مستودع أومحل + 2 عامل","19011000","Warehouse or shop + 2 workers",
"165",,"مستودع أومحل + 2 عامل","19019010","Warehouse or shop + 2 workers",
"166","شرط أن تكون لمنشأة صناعية قائمة ومنتجة ومضمنة كمادة أولية واردة بكتاب مخصصات صادر عن وزارة الصناعة","مستودع أومحل + 2 عامل + منشأة صناعية","20079910","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and productive industrial facility and is included as a raw material contained in an allocations letter issued by the Ministry of Industry."
"167","شريطة أن يكون  لمنشأة صناعية قائمة ومنتجة ووردت المادة ضمن كتاب المخصصات الصادر عن وزارة الصناعة وحصراً مكثفات العصائر المصنعة من الفواكه الإستوائية","مستودع أومحل + 2 عامل + منشأة صناعية","20094110","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and productive industrial facility and the article is included in the allocations book issued by the Ministry of Industry and exclusively for condensers for juices manufactured from tropical fruits."
"168","شريطة أن يكون  لمنشأة صناعية قائمة ومنتجة ووردت المادة ضمن كتاب المخصصات الصادر عن وزارة الصناعة وحصراً مكثفات العصائر المصنعة من الفواكه الإستوائية","مستودع أومحل + 2 عامل + منشأة صناعية","20094910","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and productive industrial facility and the article is included in the allocations book issued by the Ministry of Industry and exclusively for condensers for juices manufactured from tropical fruits."
"169","شريطة أن يكون  لمنشأة صناعية قائمة ومنتجة ووردت المادة ضمن كتاب المخصصات الصادر عن وزارة الصناعة وحصراً مكثفات العصائر المصنعة من الفواكه الإستوائية","مستودع أومحل + 2 عامل + منشأة صناعية","20098910","Warehouse or shop + 2 workers + industrial facility","Provided that it is for an existing and productive industrial facility and the article is included in the allocations book issued by the Ministry of Industry and exclusively for condensers for juices manufactured from tropical fruits."
"170","شريطة أن تكون دوكما وغير معدة للبيع بالتجزئة","مستودع أومحل + 2 عامل","21011100","Warehouse or shop + 2 workers","Provided that it is commercial and not intended for retail sale"
"171",,"مستودع أومحل + 2 عامل","21011200","Warehouse or shop + 2 workers",
"172","منشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات من قبل مديرية الصناعة المعنية","مستودع أومحل + 2 عامل + منشأة صناعية","21012000","Warehouse or shop + 2 workers + industrial facility","An existing industrial facility operating under an allocation letter from the relevant industry directorate"
"173",,"مستودع أومحل + 2 عامل","21021000","Warehouse or shop + 2 workers",
"174",,"مستودع أومحل + 2 عامل","21022000","Warehouse or shop + 2 workers",
"175",,"مستودع أومحل + 2 عامل","21023000","Warehouse or shop + 2 workers",
"176","شريطة أن يكون الوصف التجاري مركز الصويا ولمنشأة صناعية قائمة وتعمل ووفق الطلقة الإنتاجية","مستودع أومحل + 2 عامل + منشأة صناعية","21031000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for a soy center and an existing industrial facility operating according to the production schedule"
"177","شريطة أن تكون حصراً توابل وبهارات مستخدمة في الصناعة لمنشأة صناعية قائمة وتعمل ومتخصصة في إنتاج الشوربات الجاهزة أو الشعيرية العصائبية أو العاملة في مجال صناعة اللحوم ( المرتديلا) وضمن حدود المخصصات الصناعية الصادرة عن مديرية الصناعة المعنية وبحدود الطاقة الإنتاجية الفعلية","مستودع أومحل + 2 عامل + منشأة صناعية","21039000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for a soy center and an existing industrial facility operating according to the production schedule"
"178","شريطة أن لا تحتوي على متممات بناء العضلات وأن يكون دوكما بوزن 20 كغ وما فوق","مستودع أومحل + 2 عامل","21061000","Warehouse or shop + 2 workers","Provided that it does not contain muscle building supplements and that the patient weighs 20 kg or more"
"179","شريطة أن لا تحتوي على متممات بناء العضلات وأن يكون دوكما بوزن 20 كغ وما فوق","مستودع أومحل + 2 عامل","21069010","Warehouse or shop + 2 workers","Provided that it does not contain muscle building supplements and that the patient weighs 20 kg or more"
"180","شريطة أن لا تحتوي على متممات بناء العضلات وأن يكون دوكما بوزن 20 كغ وما فوق","مستودع أومحل + 2 عامل","21069020","Warehouse or shop + 2 workers","Provided that it does not contain muscle building supplements and that the patient weighs 20 kg or more"
"181","في حال كان الوصف التجاري مبيض للقهوة حصرا"""" لمنشأة صناعية قائمة وتعمل وفق طاقتها الانتاجية","مستودع أومحل + 2 عامل","21069030","Warehouse or shop + 2 workers","If the trade description is “exclusively a coffee creamer” for an existing industrial facility operating according to its production capacity"
"182","شريطة أن لا تحتوي على متممات بناء العضلات","مستودع أومحل + 2 عامل","21069050","Warehouse or shop + 2 workers","Provided that it does not contain muscle building supplements"
"183","شريطة أن يكون الوصف التجاري كريما نباتية حصراً","مستودع أومحل + 2 عامل","21069091","Warehouse or shop + 2 workers","Provided that the commercial description is exclusively vegetable cream"
"184","شريطة أن يكون الوصف التجاري : الكحول الطبي من درجة 97 - 100 %  ولمنشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات من قبل مديرية الصناعة المعنية أو شريطة أن يكون الوصف التجاري كحول من درجة 97 - 100 %  ولمنشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات من قبل مديرية الصناعة المعنية","مستودع أومحل + 2 عامل + منشأة صناعية","22071000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is: medical alcohol of a grade of 97-100% and for an existing and operating industrial facility and in accordance with an allocations letter from the relevant industry directorate."
"185","شريطة أن يكون الوصف التجاري : الكحول الطبي من درجة 97 - 100 %  ولمنشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات من قبل مديرية الصناعة المعنية و شريطة أن يكون الوصف التجاري كحول من درجة 97 - 100 %  ولمنشأة صناعية قائمة وتعمل وبموجب كتاب مخصصات من قبل مديرية الصناعة المعنية","مستودع أومحل + 2 عامل + منشأة صناعية","22072000","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is: medical alcohol of a grade of 97-100% and for an existing and operating industrial facility and in accordance with an allocations letter from the relevant industry directorate."
